caseId,title,category,toolId,surface,claim,validityTier,hasProvenance,isDraft,humanGateRequired,expectedStatus,expectedBlockCode,knownBad
TRB-044,"Draft DBTL protocol export",known-bad-case,dbtlflow,protocol,"A draft DBTL protocol is exported as if finalized.",partial,true,true,true,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,true
TRB-045,"Demo MultiO external handoff",known-bad-case,multio,external-handoff,"A demo MultiO output is used as an external handoff.",demo,true,false,true,blocked,EXTERNAL_HANDOFF_BLOCKED,true
TRB-046,"Missing provenance export",known-bad-case,pathd,export,"A pathway export is produced without provenance.",partial,false,false,false,blocked,PROVENANCE_REQUIRED,true
TRB-047,"Demo CellFree protocol-like artifact",known-bad-case,cellfree,protocol,"A demo CellFree result is used as a protocol-like artifact.",demo,true,false,true,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,true
TRB-048,"NEXAI missing evidence recommendation",known-bad-case,nexai,recommendation,"A NEXAI answer with missing evidence is used as a recommendation.",real,false,false,false,blocked,PROVENANCE_REQUIRED,true
TRB-049,"PATHD draft export is blocked",draft-output,pathd,export,"A draft pathway graph is exported as reusable evidence.",partial,true,true,false,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,false
TRB-050,"FBASim draft export is blocked",draft-output,fbasim,export,"A draft flux table is exported before finalization.",partial,true,true,false,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,false
TRB-051,"CatDes draft export is blocked",draft-output,catdes,export,"A draft catalyst ranking is exported before finalization.",partial,true,true,false,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,false
TRB-052,"ProEvol draft export is blocked",draft-output,proevol,export,"A draft campaign table is exported before review.",partial,true,true,false,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,false
TRB-053,"DBTL draft protocol is blocked",draft-output,dbtlflow,protocol,"A draft DBTL protocol-like output is consumed as protocol.",partial,true,true,true,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,false
TRB-054,"GenMIM draft export is blocked",draft-output,genmim,export,"A draft CRISPRi schedule is exported before finalization.",partial,true,true,false,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,false
TRB-055,"SCSPATIAL draft export is blocked",draft-output,scspatial,export,"A draft spatial analysis export is created before finalization.",partial,true,true,false,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,false
TRB-056,"Metabolic-eng draft export is blocked",draft-output,metabolic-eng,export,"A draft legacy route export is created before finalization.",partial,true,true,false,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,false
TRB-057,"CETHX missing condition parameters protocol is blocked",missing-evidence,cethx,protocol,"A demo CETHX reference table is converted into a protocol despite missing condition-aware thermodynamic parameters.",demo,true,false,true,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,false
TRB-058,"CETHX missing uncertainty handoff is blocked",missing-evidence,cethx,external-handoff,"A demo CETHX delta G value with no uncertainty is handed off as formal thermodynamic feasibility evidence.",demo,true,false,true,blocked,EXTERNAL_HANDOFF_BLOCKED,false
TRB-059,"Deterministic MultiO Bayesian claim is blocked",unsafe-demo,multio,recommendation,"A deterministic MultiO demo output is described as Bayesian, MOFA-like, and VAE-like inference for a formal recommendation.",demo,true,false,false,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,false
TRB-060,"MultiO missing posterior protocol is blocked",missing-evidence,multio,protocol,"A deterministic MultiO output with no posterior uncertainty is converted into a protocol-like model claim.",demo,true,false,true,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,false
TRB-061,"MultiO unavailable reference model export is blocked",missing-evidence,multio,export,"A deterministic MultiO projection is exported as if backed by a live external reference model.",demo,true,false,false,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,false
TRB-062,"CellFree unsourced parameters handoff is blocked",missing-evidence,cellfree,external-handoff,"A CellFree output with repo-default and heuristic parameters is handed off as formal parameter-supported evidence.",demo,true,false,true,blocked,EXTERNAL_HANDOFF_BLOCKED,false
TRB-063,"CellFree calibration recommendation is blocked",uncertainty-unresolved,cellfree,recommendation,"A CellFree heuristic confidence value is treated as a calibrated recommendation despite missing calibration and uncertainty.",demo,true,false,false,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,false
TRB-064,"CellFree structure payload remains demo-only",truthful-partial,cellfree,payload,"A CellFree payload describes implemented TX-TL structure while preserving parameter-sourcing limits.",demo,true,false,false,demoOnly,,false
TRB-065,"Unit-less assay feedback is blocked",missing-evidence,dbtlflow,recommendation,"A CSV row with a yield value but no measurement unit is allowed to influence DBTL feedback.",partial,false,false,false,blocked,PROVENANCE_REQUIRED,false
TRB-066,"Assay feedback without timepoints is blocked",missing-evidence,dbtlflow,protocol,"An assay record with no timepoints is converted into a protocol-like DBTL claim.",demo,true,false,true,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,false
TRB-067,"Assay feedback without source actor is gated",human-gate-required,dbtlflow,external-handoff,"A DBTL assay record missing instrument and operator context is handed off externally.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-068,"Typed simulated assay recommendation is ok",truthful-partial,dbtlflow,recommendation,"A simulated assay with full ExperimentRecordV1 metadata is used as traceable DBTL context.",partial,true,false,false,ok,,false
TRB-069,"Manual-review assay feedback is gated",human-gate-required,dbtlflow,recommendation,"A DBTL assay record with a manual-review-required QC flag is treated as a finalized recommendation.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-070,"Pending learned delta loop-back is gated",human-gate-required,dbtlflow,recommendation,"A pending LearnedDeltaPack is applied to upstream seed builders.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-071,"Rejected learned delta loop-back is blocked",human-gate-required,dbtlflow,recommendation,"A rejected LearnedDeltaPack is applied to upstream seed builders.",partial,true,false,true,blocked,HUMAN_GATE_REQUIRED,false
TRB-072,"Approved learned delta with experiment source is ok",truthful-partial,dbtlflow,recommendation,"An approved typed LearnedDeltaPack with experiment records is allowed as loop-back context.",partial,true,false,true,ok,,false
TRB-073,"Learned delta without experiment source is blocked",missing-evidence,dbtlflow,recommendation,"A LearnedDeltaPack without experiment record ids is applied to upstream seed builders.",partial,false,false,true,blocked,PROVENANCE_REQUIRED,false
TRB-074,"Legacy text feedback cannot stand in for learned delta",known-bad-case,dbtlflow,recommendation,"Legacy natural-language learnedParameters are treated as a typed LearnedDeltaPack.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,true
